Company Name,Salary,Rating,Reported Salaries,Designation
Tata Consultancy Services,"₹4,35,000",3.8,"8,398 salaries",Software Engineer
Accenture,"₹5,65,614",3.9,"6,404 salaries",Software Engineer
Tech Mahindra,"₹4,00,000",3.6,"4,754 salaries",Software Engineer
HCLTech,"₹4,50,000",3.6,"4,254 salaries",Software Engineer
Infosys,"₹5,00,000",3.8,"4,032 salaries",Software Engineer
Capgemini,"₹4,00,000",3.9,"3,442 salaries",Software Engineer
Wipro,"₹5,00,000",3.7,"2,939 salaries",Software Engineer
Cognizant Technology Solutions,"₹6,56,000",3.8,"2,510 salaries",Software Engineer
Cisco Systems,"₹18,53,875",4.4,"1,893 salaries",Software Engineer
Microsoft,"₹23,20,869",4.3,"1,842 salaries",Software Engineer
Google,"₹24,49,655",4.4,"1,842 salaries",Software Engineer
Persistent Systems,"₹5,00,000",3.9,"1,740 salaries",Software Engineer
Amazon,"₹19,10,000",3.7,"1,602 salaries",Software Engineer
IBM,"₹9,62,083",4.1,"1,507 salaries",Software Engineer
CGI,"₹7,00,000",3.8,"1,440 salaries",Software Engineer
Mphasis,"₹4,77,500",3.5,"1,236 salaries",Software Engineer
ABC,"₹7,00,000",4,"1,088 salaries",Software Engineer
Capgemini Engineering,"₹4,00,000",3.6,"1,041 salaries",Software Engineer
Cybage Software,"₹6,50,000",4,898 salaries,Software Engineer
Oracle,"₹13,44,501",3.8,882 salaries,Software Engineer
Paytm,"₹11,75,434",3.5,878 salaries,Software Engineer
Cerner,"₹6,60,000",3.5,877 salaries,Software Engineer
Zensar Technologies,"₹5,00,000",4,833 salaries,Software Engineer
TCS,"₹4,50,000",3.9,816 salaries,Software Engineer
Optum,"₹11,00,000",3.6,776 salaries,Software Engineer
Dell Technologies,"₹9,98,750",4.3,764 salaries,Software Engineer
Newgen Software,"₹5,00,000",3.8,756 salaries,Software Engineer
Samsung R&D Institute India - Bangalore,"₹14,00,000",3.7,721 salaries,Software Engineer
GlobalLogic,"₹6,12,118",3.8,674 salaries,Software Engineer
KPIT Technologies,"₹5,95,078",3.9,668 salaries,Software Engineer
Virtusa,"₹5,65,000",3.7,652 salaries,Software Engineer
Samsung Electronics,"₹11,63,719",3.8,640 salaries,Software Engineer
Hexaware Technologies,"₹4,48,500",3.8,636 salaries,Software Engineer
LTIMindtree,"₹4,61,674",3.5,634 salaries,Software Engineer
Robert Bosch,"₹6,05,000",4.1,621 salaries,Software Engineer
Amdocs,"₹8,00,000",3.9,614 salaries,Software Engineer
Atos-Syntel,"₹3,71,500",3.6,597 salaries,Software Engineer
First Student,"₹4,90,951",3.9,582 salaries,Software Engineer
DXC Technology,"₹4,07,400",3.6,563 salaries,Software Engineer
Société Générale,"₹12,89,037",3.7,528 salaries,Software Engineer
HSBC,"₹8,00,000",3.9,512 salaries,Software Engineer
Samsung R&D Institute India - Noida,"₹12,00,000",3.4,509 salaries,Software Engineer
MAQ Software,"₹7,60,523",2.7,505 salaries,Software Engineer
Robert Bosch India,"₹6,00,000",4.1,505 salaries,Software Engineer
Qualcomm,"₹17,00,000",4,497 salaries,Software Engineer
Panasonic,"₹4,71,500",3.8,492 salaries,Software Engineer
EPAM Systems,"₹14,00,000",4.1,473 salaries,Software Engineer
Xoriant,"₹6,50,000",3.8,473 salaries,Software Engineer
Infogain,"₹4,24,538",3.9,469 salaries,Software Engineer
Fidelity Investments,"₹11,09,500",4.3,468 salaries,Software Engineer
Tata Consultancy Services (North America),"₹4,20,000",3.7,459 salaries,Software Engineer
Coforge,"₹4,32,000",3.5,447 salaries,Software Engineer
JPMorgan Chase & Co,"₹16,50,000",4,444 salaries,Software Engineer
Temenos,"₹6,30,000",3.5,439 salaries,Software Engineer
J.P. Morgan,"₹13,50,000",4,437 salaries,Software Engineer
HSBC Software Development India,"₹8,00,000",4,437 salaries,Software Engineer
Siemens,"₹9,80,362",4.2,437 salaries,Software Engineer
L&T Technology Services,"₹4,38,189",3.4,434 salaries,Software Engineer
NeoSOFT,"₹6,33,906",4,412 salaries,Software Engineer
Carelon Global Solutions,"₹9,67,983",3.9,389 salaries,Software Engineer
Wells Fargo,"₹16,00,000",3.6,388 salaries,Software Engineer
FIS,"₹7,30,000",3.7,387 salaries,Software Engineer
UST,"₹6,00,000",3.9,377 salaries,Software Engineer
Accolite Digital,"₹8,00,000",3.6,373 salaries,Software Engineer
Atos,"₹4,00,000",3.6,365 salaries,Software Engineer
Sopra Steria,"₹5,87,500",3.8,360 salaries,Software Engineer
Intel Corporation,"₹15,00,000",4.1,357 salaries,Software Engineer
Fresher,"₹4,00,000",4,355 salaries,Software Engineer
Nucleus Software Exports,"₹5,00,000",3.8,354 salaries,Software Engineer
Quest Global,"₹4,00,000",3.7,353 salaries,Software Engineer
Deloitte,"₹8,00,000",4.1,346 salaries,Software Engineer
Anonymous,"₹5,00,000",3.7,344 salaries,Software Engineer
Nagarro,"₹6,00,000",4,343 salaries,Software Engineer
HARMAN,"₹7,49,000",3.9,341 salaries,Software Engineer
CitiusTech,"₹5,92,578",3.5,334 salaries,Software Engineer
Nokia,"₹9,00,000",4.1,329 salaries,Software Engineer
HCL,"₹4,00,000",3.6,329 salaries,Software Engineer
Adobe,"₹10,84,000",4.3,321 salaries,Software Engineer
GS Lab,"₹5,50,000",3.8,313 salaries,Software Engineer
XYZ,"₹6,00,000",3.8,313 salaries,Software Engineer
HashedIn by Deloitte,"₹8,00,000",4.2,312 salaries,Software Engineer
NatWest Group,"₹11,53,500",4,306 salaries,Software Engineer
Siemens Digital Industries Software,"₹12,00,000",4.4,303 salaries,Software Engineer
Honeywell,"₹7,03,000",4,302 salaries,Software Engineer
Microsoft,"₹80,000",4.3,299 salaries,Software Engineer
OpenText,"₹10,00,000",3.5,294 salaries,Software Engineer
NTT DATA,"₹4,00,000",3.9,294 salaries,Software Engineer
Lowe's Home Improvement,"₹13,13,471",4.2,292 salaries,Software Engineer
ValueLabs,"₹4,50,000",4.3,292 salaries,Software Engineer
Manhattan Associates,"₹7,69,666",4.1,291 salaries,Software Engineer
Informatica,"₹12,30,000",3.9,290 salaries,Software Engineer
Birlasoft,"₹4,00,000",3.6,290 salaries,Software Engineer
Jio,"₹6,60,000",3.7,287 salaries,Software Engineer
Crest Data Systems,"₹6,11,522",3.8,286 salaries,Software Engineer
Verizon,"₹6,00,000",3.8,281 salaries,Software Engineer
Amadeus,"₹9,00,000",4.1,276 salaries,Software Engineer
Thomson Reuters,"₹7,15,000",4.1,275 salaries,Software Engineer
UnitedHealth Group,"₹7,07,000",3.7,271 salaries,Software Engineer
Hewlett Packard Enterprise | HPE,"₹9,55,000",4.2,270 salaries,Software Engineer
Tietoevry,"₹6,94,257",4.3,270 salaries,Software Engineer
Tata Consultancy Services,"₹7,92,000",3.8,413 salaries,Data Scientist
IBM,"₹12,00,000",4.1,303 salaries,Data Scientist
Accenture,"₹10,25,000",3.9,243 salaries,Data Scientist
Mu Sigma,"₹6,02,500",3.5,173 salaries,Data Scientist
Cognizant Technology Solutions,"₹8,65,568",3.8,152 salaries,Data Scientist
Infosys,"₹7,71,046",3.8,147 salaries,Data Scientist
Fractal,"₹16,00,000",4.1,132 salaries,Data Scientist
Tiger Analytics,"₹15,00,000",4,129 salaries,Data Scientist
Amazon,"₹15,00,000",3.7,115 salaries,Data Scientist
Capgemini,"₹8,00,000",3.9,109 salaries,Data Scientist
Google,"₹15,00,000",4.4,93 salaries,Data Scientist
Optum,"₹15,50,000",3.6,91 salaries,Data Scientist
Microsoft,"₹18,50,000",4.3,90 salaries,Data Scientist
Jio,"₹14,85,000",3.7,88 salaries,Data Scientist
Anheuser-Busch InBev,"₹19,82,000",3.7,88 salaries,Data Scientist
Wipro,"₹8,00,000",3.7,87 salaries,Data Scientist
Deloitte,"₹12,00,000",4.1,77 salaries,Data Scientist
TuringMinds.Ai,"₹5,00,000",2,62 salaries,Data Scientist
Impact Analytics,"₹7,40,000",3.6,59 salaries,Data Scientist
ZS Associates,"₹14,00,000",3.7,56 salaries,Data Scientist
First Student,"₹41,667",3.9,53 salaries,Data Scientist
Genpact,"₹10,00,000",4,52 salaries,Data Scientist
ABC,"₹7,99,444",4,50 salaries,Data Scientist
Tech Mahindra,"₹7,90,000",3.6,49 salaries,Data Scientist
Ericsson-Worldwide,"₹10,00,000",4.1,46 salaries,Data Scientist
HCLTech,"₹8,03,000",3.6,43 salaries,Data Scientist
EXL Service,"₹12,00,000",3.7,43 salaries,Data Scientist
Fresher,"₹5,00,000",4,43 salaries,Data Scientist
EY,"₹10,95,660",3.8,42 salaries,Data Scientist
Oracle,"₹14,00,000",3.8,37 salaries,Data Scientist
PayPal,"₹29,88,018",3.9,37 salaries,Data Scientist
Shell,"₹20,00,000",4.1,37 salaries,Data Scientist
Société Générale,"₹18,50,000",3.7,36 salaries,Data Scientist
Ford Motor Company,"₹13,85,268",4,36 salaries,Data Scientist
Flipkart,"₹31,38,608",3.9,36 salaries,Data Scientist
Embibe,"₹14,00,000",4.2,34 salaries,Data Scientist
UnitedHealth Group,"₹13,60,000",3.7,33 salaries,Data Scientist
Ola,"₹20,00,000",3,33 salaries,Data Scientist
Great Learning,"₹8,20,000",4.1,32 salaries,Data Scientist
HiLabs,"₹19,40,000",3.7,31 salaries,Data Scientist
HDFC Bank,"₹15,57,608",3.5,31 salaries,Data Scientist
PwC,"₹10,80,000",3.9,31 salaries,Data Scientist
Walmart Global Tech,"₹28,00,000",4,31 salaries,Data Scientist
Mastercard,"₹24,00,000",4.3,30 salaries,Data Scientist
Reliance Industries,"₹9,32,500",3.9,30 salaries,Data Scientist
MiQ,"₹15,50,000",3.5,29 salaries,Data Scientist
HP Inc.,"₹18,00,000",4.2,29 salaries,Data Scientist
Ganit,"₹12,00,000",3.8,28 salaries,Data Scientist
Cyient,"₹7,75,000",3.6,28 salaries,Data Scientist
Celebal Technologies,"₹6,50,000",3.5,28 salaries,Data Scientist
DXC Technology,"₹8,00,000",3.6,27 salaries,Data Scientist
Tredence,"₹12,50,000",4.1,27 salaries,Data Scientist
Honeywell,"₹14,50,000",4,26 salaries,Data Scientist
TCS,"₹7,12,500",3.9,26 salaries,Data Scientist
INSOFE,"₹6,80,000",3.5,26 salaries,Data Scientist
Applied Data Finance,"₹9,60,000",4.1,26 salaries,Data Scientist
Micron Technology,"₹15,00,000",3.7,25 salaries,Data Scientist
DataScientest,"₹50,000",4.8,25 salaries,Data Scientist
Nielsen,"₹6,75,000",3.5,24 salaries,Data Scientist
Verizon,"₹12,00,000",3.8,23 salaries,Data Scientist
Innoplexus,"₹12,00,000",4.2,23 salaries,Data Scientist
MathCo,"₹9,96,006",3.5,23 salaries,Data Scientist
Axis Bank,"₹11,88,000",3.8,23 salaries,Data Scientist
dunnhumby,"₹12,10,000",4.3,22 salaries,Data Scientist
Maxgen Technologies,"₹21,500",4.8,22 salaries,Data Scientist
LTIMindtree,"₹12,98,898",3.5,22 salaries,Data Scientist
Fidelity Investments,"₹26,64,844",4.3,22 salaries,Data Scientist
Delhivery,"₹12,00,000",3.5,22 salaries,Data Scientist
Wolters Kluwer,"₹11,05,000",3.7,22 salaries,Data Scientist
Bharti Airtel,"₹21,00,000",4.1,21 salaries,Data Scientist
Philips,"₹14,55,000",3.9,21 salaries,Data Scientist
AlgoAnalytics Financial Consultancy,"₹7,80,000",3.8,21 salaries,Data Scientist
Paytm,"₹15,42,092",3.5,21 salaries,Data Scientist
Citi,"₹18,83,592",3.8,20 salaries,Data Scientist
Gramener,"₹8,00,000",4.4,20 salaries,Data Scientist
Nagarro,"₹11,00,000",4,20 salaries,Data Scientist
Siemens,"₹11,25,000",4.2,20 salaries,Data Scientist
Mercedes-Benz Research and Development India,"₹14,00,000",4,19 salaries,Data Scientist
Thoucentric,"₹11,00,000",4.1,19 salaries,Data Scientist
ABB,"₹11,56,569",4,19 salaries,Data Scientist
iNeuron,"₹6,50,000",4.3,19 salaries,Data Scientist
Intellect Design Arena,"₹12,00,000",4,19 salaries,Data Scientist
Blackstraw,"₹10,00,000",3.5,19 salaries,Data Scientist
Innovaccer,"₹13,00,000",3.4,19 salaries,Data Scientist
SAP,"₹16,50,000",4.3,19 salaries,Data Scientist
Decision Point,"₹10,81,951",3.8,19 salaries,Data Scientist
NeenOpal,"₹8,20,000",4.3,19 salaries,Data Scientist
Subex,"₹9,76,000",3.4,19 salaries,Data Scientist
Innominds Software,"₹9,00,000",3.4,19 salaries,Data Scientist
Gojek,"₹32,34,591",4.2,18 salaries,Data Scientist
Intel Corporation,"₹17,60,000",4.1,18 salaries,Data Scientist
VMock,"₹19,00,000",3.9,18 salaries,Data Scientist
Myntra,"₹22,00,000",4,18 salaries,Data Scientist
Cisco Systems,"₹15,00,000",4.4,18 salaries,Data Scientist
Walmart,"₹30,50,000",3.4,18 salaries,Data Scientist
Bajaj Finance,"₹11,70,000",3.6,18 salaries,Data Scientist
Sprinklr,"₹18,00,000",3.4,18 salaries,Data Scientist
KPMG,"₹12,26,475",3.8,18 salaries,Data Scientist
ITC Infotech,"₹7,94,257",3.8,18 salaries,Data Scientist
Ericsson India Global services Pvt. Ltd.,"₹13,22,856",4.2,18 salaries,Data Scientist
Quantiphi,"₹10,64,845",4.3,421 salaries,Machine Learning Engineer
Tata Consultancy Services,"₹5,00,000",3.8,95 salaries,Machine Learning Engineer
Tiger Analytics,"₹14,40,537",4,21 salaries,Machine Learning Engineer
Accenture,"₹9,52,050",3.9,20 salaries,Machine Learning Engineer
Amazon,"₹8,00,000",3.7,19 salaries,Machine Learning Engineer
Mad Street Den Systems,"₹11,70,869",4,19 salaries,Machine Learning Engineer
Infocusp,"₹11,00,000",4.7,15 salaries,Machine Learning Engineer
Google,"₹14,00,000",4.4,15 salaries,Machine Learning Engineer
OptiSol Business Solutions Private Limited,"₹5,38,107",4,14 salaries,Machine Learning Engineer
Infosys,"₹6,00,000",3.8,14 salaries,Machine Learning Engineer
Quantiphi,"₹6,42,110",4.3,14 salaries,Machine Learning Engineer
Phenom,"₹18,00,000",3.8,13 salaries,Machine Learning Engineer
First Student,"₹38,063",3.9,11 salaries,Machine Learning Engineer
FactSet,"₹18,00,000",4,11 salaries,Machine Learning Engineer
ABC,"₹10,00,000",4,11 salaries,Machine Learning Engineer
Microsoft,"₹20,00,000",4.3,11 salaries,Machine Learning Engineer
Zycus,"₹7,60,523",3.4,10 salaries,Machine Learning Engineer
ServiceNow,"₹25,83,004",4.4,9 salaries,Machine Learning Engineer
Jio,"₹16,80,000",3.7,9 salaries,Machine Learning Engineer
DeepEdge,"₹8,90,000",4.9,8 salaries,Machine Learning Engineer
dhiOmics Analytics Solutions,"₹3,10,000",3.4,8 salaries,Machine Learning Engineer
MTX Group,"₹34,50,000",3.9,8 salaries,Machine Learning Engineer
Cognizant Technology Solutions,"₹5,20,000",3.8,8 salaries,Machine Learning Engineer
HCLTech,"₹5,65,000",3.6,8 salaries,Machine Learning Engineer
AppliedAICourse,"₹7,00,000",4,7 salaries,Machine Learning Engineer
Oracle,"₹15,00,000",3.8,7 salaries,Machine Learning Engineer
Deloitte,"₹15,00,000",4.1,7 salaries,Machine Learning Engineer
Tech Mahindra,"₹8,30,725",3.6,7 salaries,Machine Learning Engineer
Persistent Systems,"₹7,00,000",3.9,7 salaries,Machine Learning Engineer
XenonStack,"₹5,50,000",3.1,7 salaries,Machine Learning Engineer
Freshworks,"₹14,85,000",3.8,7 salaries,Machine Learning Engineer
skit.ai,"₹16,00,000",3.7,7 salaries,Machine Learning Engineer
Climate Connect (India),"₹6,92,764",3.3,7 salaries,Machine Learning Engineer
BlueOptima,"₹12,00,000",3,7 salaries,Machine Learning Engineer
Monsoon (India),"₹7,34,143",4.2,6 salaries,Machine Learning Engineer
IDfy,"₹10,95,000",4,6 salaries,Machine Learning Engineer
Qualcomm,"₹24,75,000",4,6 salaries,Machine Learning Engineer
TATA ELXSI,"₹6,25,000",4,6 salaries,Machine Learning Engineer
Capgemini,"₹7,09,098",3.9,6 salaries,Machine Learning Engineer
Jocata,"₹9,00,000",3.8,5 salaries,Machine Learning Engineer
ICS Consultancy,"₹17,50,000",3.1,5 salaries,Machine Learning Engineer
Rapid Acceleration Partners,"₹8,00,000",4.7,5 salaries,Machine Learning Engineer
Wipro,"₹6,85,000",3.7,5 salaries,Machine Learning Engineer
Ignitarium Technology Solutions,"₹5,50,000",4.1,5 salaries,Machine Learning Engineer
Observe.AI,"₹26,89,216",3.5,5 salaries,Machine Learning Engineer
Ideapoke Technologies,"₹4,50,000",4,5 salaries,Machine Learning Engineer
HyperVerge,"₹18,21,596",4.3,5 salaries,Machine Learning Engineer
Intel Corporation,"₹6,00,000",4.1,5 salaries,Machine Learning Engineer
Twilio,"₹26,00,000",3.7,5 salaries,Machine Learning Engineer
Aureus Analytics,"₹11,50,000",4.5,5 salaries,Machine Learning Engineer
Inferenz,"₹4,00,000",4.4,5 salaries,Machine Learning Engineer
NewSpace Research and Technologies,"₹6,00,000",3.6,5 salaries,Machine Learning Engineer
Samsung R&D Institute India - Bangalore,"₹18,00,000",3.7,5 salaries,Machine Learning Engineer
AIMonk,"₹6,83,597",4.1,5 salaries,Machine Learning Engineer
Nones,"₹6,00,000",4,4 salaries,Machine Learning Engineer
The Alacer Group,"₹16,25,000",4.3,4 salaries,Machine Learning Engineer
Searce,"₹7,25,000",3.5,4 salaries,Machine Learning Engineer
Quixy,"₹7,50,000",4.2,4 salaries,Machine Learning Engineer
YBI Foundation,"₹24,000",4.8,4 salaries,Machine Learning Engineer
Techolution,"₹10,74,964",3.8,4 salaries,Machine Learning Engineer
Avaamo,"₹25,50,000",4.5,4 salaries,Machine Learning Engineer
Barclays,"₹30,15,799",4,4 salaries,Machine Learning Engineer
INSOFE,"₹6,84,727",3.5,4 salaries,Machine Learning Engineer
Mercedes-Benz Research and Development India,"₹19,37,500",4,4 salaries,Machine Learning Engineer
Mihup Communications,"₹7,32,500",3.8,4 salaries,Machine Learning Engineer
Avantari Technologies,"₹7,10,000",4.5,4 salaries,Machine Learning Engineer
Dailyhunt,"₹20,00,000",3.4,4 salaries,Machine Learning Engineer
Adobe,"₹19,98,937",4.3,4 salaries,Machine Learning Engineer
UST,"₹8,62,500",3.9,4 salaries,Machine Learning Engineer
Intangles,"₹9,00,000",4.5,4 salaries,Machine Learning Engineer
Atos-Syntel,"₹3,47,500",3.6,4 salaries,Machine Learning Engineer
Bombay Softwares,"₹6,75,000",4.9,4 salaries,Machine Learning Engineer
Aera Technology,"₹16,16,304",3.6,4 salaries,Machine Learning Engineer
Continental,"₹7,60,024",4.1,4 salaries,Machine Learning Engineer
DONE by NONE,"₹7,88,889",4,4 salaries,Machine Learning Engineer
iNeuron,"₹25,000",4.3,3 salaries,Machine Learning Engineer
Trantor,"₹7,00,000",3.6,3 salaries,Machine Learning Engineer
Kwantics,"₹6,50,000",3.9,3 salaries,Machine Learning Engineer
Quale Infotech,"₹5,50,000",3.6,3 salaries,Machine Learning Engineer
CogniCor Technologies,"₹6,00,000",4.4,3 salaries,Machine Learning Engineer
Sysark,"₹4,20,000",4.4,3 salaries,Machine Learning Engineer
Onward Assist,"₹58,333",4.3,3 salaries,Machine Learning Engineer
PeopleStrong Technologies,"₹10,00,000",3.9,3 salaries,Machine Learning Engineer
EY,"₹25,00,000",3.8,3 salaries,Machine Learning Engineer
Virtusa,"₹7,00,000",3.7,3 salaries,Machine Learning Engineer
