Company Name,Salary,Rating,Reported Salaries,Designation
PubMatic,"₹20,32,000",4.3,3 salaries,Machine Learning Engineer
1Rivet,"₹4,20,000",4.5,3 salaries,Machine Learning Engineer
Hexaware Technologies,"₹9,90,000",3.8,3 salaries,Machine Learning Engineer
American Express,"₹18,00,000",4.2,3 salaries,Machine Learning Engineer
Resolute AI Software,"₹20,000",4.3,3 salaries,Machine Learning Engineer
Quantrium,"₹4,20,000",4,3 salaries,Machine Learning Engineer
SalesKen,"₹19,20,716",3.5,3 salaries,Machine Learning Engineer
FIS,"₹9,00,000",3.7,3 salaries,Machine Learning Engineer
Lucida Technologies,"₹6,00,000",3.5,3 salaries,Machine Learning Engineer
CreditVidya,"₹12,78,670",4.2,3 salaries,Machine Learning Engineer
Microsoft,"₹83,333",4.3,3 salaries,Machine Learning Engineer
ExaWizards,"₹23,90,414",3.1,3 salaries,Machine Learning Engineer
L&T Technology Services,"₹4,39,000",3.4,3 salaries,Machine Learning Engineer
ConcertAI,"₹19,72,971",3.3,3 salaries,Machine Learning Engineer
Compass,"₹22,00,000",3.6,3 salaries,Machine Learning Engineer
Tata Consultancy Services,"₹4,89,829",3.8,672 salaries,Data Engineer
Accenture,"₹7,49,540",3.9,415 salaries,Data Engineer
IBM,"₹10,06,500",4.1,377 salaries,Data Engineer
Cognizant Technology Solutions,"₹7,24,870",3.8,218 salaries,Data Engineer
Quantiphi,"₹9,00,000",4.3,214 salaries,Data Engineer
LTIMindtree,"₹5,01,750",3.5,175 salaries,Data Engineer
Infosys,"₹4,87,862",3.8,164 salaries,Data Engineer
Amazon,"₹15,53,804",3.7,159 salaries,Data Engineer
Fractal,"₹10,50,000",4.1,138 salaries,Data Engineer
Capgemini,"₹6,50,000",3.9,135 salaries,Data Engineer
Tiger Analytics,"₹14,00,000",4,99 salaries,Data Engineer
Wipro,"₹6,50,000",3.7,85 salaries,Data Engineer
Deloitte,"₹9,98,000",4.1,85 salaries,Data Engineer
Celebal Technologies,"₹5,29,098",3.5,76 salaries,Data Engineer
MAERSK,"₹15,00,000",4.1,61 salaries,Data Engineer
TCS,"₹5,00,000",3.9,58 salaries,Data Engineer
DXC Technology,"₹6,50,000",3.6,56 salaries,Data Engineer
Jio,"₹7,00,000",3.7,55 salaries,Data Engineer
Optum,"₹10,80,000",3.6,54 salaries,Data Engineer
Shell,"₹13,49,330",4.1,53 salaries,Data Engineer
Tech Mahindra,"₹6,36,500",3.6,50 salaries,Data Engineer
Blackbuck Insights,"₹4,59,174",4.6,48 salaries,Data Engineer
Datametica,"₹5,60,399",4,44 salaries,Data Engineer
Enquero,"₹9,00,000",4,43 salaries,Data Engineer
EY,"₹9,00,000",3.8,41 salaries,Data Engineer
Genpact,"₹7,25,000",4,40 salaries,Data Engineer
Brillio,"₹5,45,000",3.7,38 salaries,Data Engineer
HCLTech,"₹9,98,003",3.6,38 salaries,Data Engineer
Altimetrik,"₹11,50,000",4.1,38 salaries,Data Engineer
Futurense Technologies,"₹8,00,000",3.9,37 salaries,Data Engineer
ABC,"₹8,00,000",4,36 salaries,Data Engineer
Walmart Global Tech,"₹21,38,406",4,36 salaries,Data Engineer
DataWeave,"₹7,40,000",4,35 salaries,Data Engineer
Tredence,"₹7,37,500",4.1,34 salaries,Data Engineer
Teradata,"₹11,00,000",3.8,33 salaries,Data Engineer
Target,"₹13,00,000",3.5,33 salaries,Data Engineer
GE,"₹11,00,000",4,31 salaries,Data Engineer
Publicis Sapient,"₹14,00,000",3.7,31 salaries,Data Engineer
PwC,"₹10,75,000",3.9,30 salaries,Data Engineer
EC-Mobility,"₹2,00,400",3.6,29 salaries,Data Engineer
Celebal Technologies,"₹4,60,972",3.5,29 salaries,Data Engineer
Micron Technology,"₹12,00,000",3.7,29 salaries,Data Engineer
Datagrokr,"₹6,80,000",3.9,28 salaries,Data Engineer
ZS Associates,"₹12,00,000",3.7,27 salaries,Data Engineer
NatWest Group,"₹20,00,000",4,27 salaries,Data Engineer
Bajaj Finance,"₹9,81,904",3.6,26 salaries,Data Engineer
Cisco Systems,"₹14,00,000",4.4,26 salaries,Data Engineer
dunnhumby,"₹13,00,000",4.3,25 salaries,Data Engineer
Decision Point,"₹5,50,000",3.8,25 salaries,Data Engineer
MathCo,"₹8,00,000",3.5,24 salaries,Data Engineer
Lumiq (India),"₹8,00,000",3.7,23 salaries,Data Engineer
Virtusa,"₹7,00,000",3.7,23 salaries,Data Engineer
TEKsystems,"₹8,64,322",3.8,23 salaries,Data Engineer
Searce,"₹9,00,000",3.5,23 salaries,Data Engineer
Google,"₹11,50,000",4.4,22 salaries,Data Engineer
PayPal,"₹23,15,000",3.9,22 salaries,Data Engineer
Amazon,"₹50,000",3.7,22 salaries,Data Engineer
Accenture Solutions,"₹9,05,179",4.1,22 salaries,Data Engineer
Dell Technologies,"₹9,00,000",4.3,21 salaries,Data Engineer
LatentView Analytics,"₹6,26,475",4,21 salaries,Data Engineer
NTT DATA,"₹5,96,642",3.9,21 salaries,Data Engineer
Walmart,"₹23,00,000",3.4,21 salaries,Data Engineer
ANZ,"₹12,00,000",4,21 salaries,Data Engineer
KPMG,"₹13,38,104",3.8,20 salaries,Data Engineer
Anonymous,"₹8,22,500",3.7,20 salaries,Data Engineer
Paytm,"₹15,50,000",3.5,20 salaries,Data Engineer
Bank of America,"₹9,00,000",4,20 salaries,Data Engineer
Hewlett Packard Enterprise | HPE,"₹4,50,000",4.2,19 salaries,Data Engineer
DBS Bank,"₹11,46,123",4,18 salaries,Data Engineer
Affine,"₹8,00,000",3.8,18 salaries,Data Engineer
KPI Partners,"₹4,70,236",3.6,18 salaries,Data Engineer
Inferenz,"₹4,41,675",4.4,18 salaries,Data Engineer
Lowe's Home Improvement,"₹10,75,000",4.2,18 salaries,Data Engineer
Axis Bank,"₹7,83,610",3.8,18 salaries,Data Engineer
Mu Sigma,"₹7,50,000",3.5,17 salaries,Data Engineer
Indium Software,"₹8,00,000",4.2,17 salaries,Data Engineer
Tata Consultancy Services (North America),"₹7,00,000",3.7,17 salaries,Data Engineer
AVASOFT,"₹3,98,402",3.7,17 salaries,Data Engineer
Mphasis,"₹4,50,000",3.5,17 salaries,Data Engineer
BlazeClan Technologies,"₹5,20,000",3.9,17 salaries,Data Engineer
Principal Financial Group,"₹10,44,203",3.9,16 salaries,Data Engineer
Lumen,"₹6,62,500",3.4,16 salaries,Data Engineer
ThirdEye Data,"₹4,00,000",3.4,16 salaries,Data Engineer
UnitedHealth Group,"₹10,35,000",3.7,16 salaries,Data Engineer
Coforge,"₹7,80,000",3.5,16 salaries,Data Engineer
XYZ,"₹10,00,000",3.8,16 salaries,Data Engineer
TO THE NEW,"₹6,00,000",4,16 salaries,Data Engineer
NCR,"₹7,00,000",3.5,16 salaries,Data Engineer
Ford Motor Company,"₹6,00,001",4,16 salaries,Data Engineer
ThinkBumblebee Analytics,"₹15,00,000",4.5,16 salaries,Data Engineer
VMware,"₹21,50,000",4.5,16 salaries,Data Engineer
XenonStack,"₹4,63,008",3.1,15 salaries,Data Engineer
Oracle,"₹12,20,000",3.8,15 salaries,Data Engineer
SLB,"₹8,00,000",4.1,15 salaries,Data Engineer
Fidelity Investments,"₹10,40,000",4.3,15 salaries,Data Engineer
Visa Inc.,"₹17,00,000",4.1,15 salaries,Data Engineer
Commonwealth Bank of Australia,"₹18,83,592",4,14 salaries,Data Engineer
Syren,"₹7,02,003",3.9,14 salaries,Data Engineer
Ganit,"₹6,00,000",3.8,14 salaries,Data Engineer
GE Digital,"₹11,00,000",3.6,14 salaries,Data Engineer
Tata Consultancy Services,"₹4,33,000",3.8,824 salaries,Data Analyst
Accenture,"₹6,24,500",3.9,463 salaries,Data Analyst
Cognizant Technology Solutions,"₹4,97,540",3.8,319 salaries,Data Analyst
Capgemini,"₹4,00,000",3.9,294 salaries,Data Analyst
Infosys,"₹4,80,000",3.8,273 salaries,Data Analyst
Amazon,"₹5,00,000",3.7,259 salaries,Data Analyst
Deloitte,"₹6,26,475",4.1,252 salaries,Data Analyst
Wipro,"₹4,50,000",3.7,205 salaries,Data Analyst
EY,"₹5,00,000",3.8,174 salaries,Data Analyst
LatentView Analytics,"₹5,90,000",4,150 salaries,Data Analyst
GlobalLogic,"₹2,00,000",3.8,136 salaries,Data Analyst
IBM,"₹6,00,000",4.1,135 salaries,Data Analyst
eClerx,"₹2,30,000",3.4,134 salaries,Data Analyst
Tech Mahindra,"₹4,33,000",3.6,133 salaries,Data Analyst
S&P Global,"₹4,87,750",4.1,132 salaries,Data Analyst
Tiger Analytics,"₹8,50,000",4,130 salaries,Data Analyst
MathCo,"₹5,00,000",3.5,130 salaries,Data Analyst
Fresher,"₹4,00,000",4,127 salaries,Data Analyst
Optum,"₹12,00,000",3.6,119 salaries,Data Analyst
Google,"₹10,00,000",4.4,109 salaries,Data Analyst
Myntra,"₹10,00,000",4,109 salaries,Data Analyst
Trainity,"₹3,00,000",4.6,101 salaries,Data Analyst
HCLTech,"₹3,96,000",3.6,96 salaries,Data Analyst
BYJU'S,"₹5,73,500",3.2,94 salaries,Data Analyst
TCS,"₹4,87,862",3.9,87 salaries,Data Analyst
Morningstar,"₹3,84,000",3.9,85 salaries,Data Analyst
Mu Sigma,"₹6,00,000",3.5,82 salaries,Data Analyst
EXL Service,"₹6,00,000",3.7,78 salaries,Data Analyst
KPMG,"₹5,64,000",3.8,72 salaries,Data Analyst
ABC,"₹5,00,000",4,71 salaries,Data Analyst
Innovaccer,"₹10,00,000",3.4,70 salaries,Data Analyst
Flipkart,"₹7,00,000",3.9,68 salaries,Data Analyst
Teleperformance,"₹18,000",4.7,66 salaries,Data Analyst
Genpact,"₹4,42,617",4,64 salaries,Data Analyst
Verificient Technologies,"₹1,80,000",4,62 salaries,Data Analyst
Ugam,"₹5,50,000",3.7,62 salaries,Data Analyst
PwC,"₹6,00,000",3.9,62 salaries,Data Analyst
Axtria,"₹9,00,000",3.5,60 salaries,Data Analyst
Dell Technologies,"₹6,36,720",4.3,58 salaries,Data Analyst
Citi,"₹12,00,000",3.8,56 salaries,Data Analyst
Ganit,"₹6,00,000",3.8,56 salaries,Data Analyst
Professional Data Analysts,"₹3,85,145",4.1,56 salaries,Data Analyst
Concentrix,"₹3,96,000",4.1,55 salaries,Data Analyst
ICICI Bank,"₹5,55,000",3.7,53 salaries,Data Analyst
ZS Associates,"₹8,85,233",3.7,51 salaries,Data Analyst
First Student,"₹4,10,000",3.9,50 salaries,Data Analyst
NTT DATA,"₹4,50,000",3.9,49 salaries,Data Analyst
IQVIA,"₹7,00,000",3.9,47 salaries,Data Analyst
American Express,"₹14,75,000",4.2,46 salaries,Data Analyst
Unilog Content Solutions,"₹17,424",3.6,46 salaries,Data Analyst
HSBC,"₹8,40,000",3.9,45 salaries,Data Analyst
Flipkart,"₹6,00,000",3.9,44 salaries,Data Analyst
The Smart Cube,"₹7,50,000",3.6,44 salaries,Data Analyst
Urjanet,"₹2,64,500",3.7,43 salaries,Data Analyst
WNS,"₹6,00,000",3.4,42 salaries,Data Analyst
Numerator,"₹3,33,360",4.2,42 salaries,Data Analyst
Course5 Intelligence,"₹3,17,000",4.2,41 salaries,Data Analyst
DXC Technology,"₹5,00,000",3.6,41 salaries,Data Analyst
NielsenIQ,"₹3,60,000",3.9,40 salaries,Data Analyst
Tredence,"₹6,50,000",4.1,39 salaries,Data Analyst
Uber,"₹11,30,000",3.9,39 salaries,Data Analyst
Bharti Airtel,"₹5,70,000",4.1,38 salaries,Data Analyst
Indegene,"₹8,00,000",3.7,38 salaries,Data Analyst
Barclays,"₹10,00,000",4,37 salaries,Data Analyst
FE fundinfo,"₹2,84,000",4.2,36 salaries,Data Analyst
GALYTIX,"₹6,00,000",3.1,36 salaries,Data Analyst
Microsoft,"₹9,79,916",4.3,34 salaries,Data Analyst
Fractal,"₹7,00,000",4.1,34 salaries,Data Analyst
Indium Software,"₹7,30,000",4.2,33 salaries,Data Analyst
XYZ,"₹6,00,000",3.8,33 salaries,Data Analyst
Wells Fargo,"₹12,00,000",3.6,32 salaries,Data Analyst
PayPal,"₹16,10,000",3.9,32 salaries,Data Analyst
Jio,"₹5,35,000",3.7,32 salaries,Data Analyst
Target,"₹11,52,429",3.5,32 salaries,Data Analyst
Kantar,"₹4,00,000",3.7,32 salaries,Data Analyst
Oracle,"₹6,00,000",3.8,31 salaries,Data Analyst
JPMorgan Chase & Co,"₹9,60,358",4,31 salaries,Data Analyst
CRG Solutions,"₹5,00,000",3.7,31 salaries,Data Analyst
Nielsen,"₹5,02,000",3.5,30 salaries,Data Analyst
Nones,"₹5,00,000",4,30 salaries,Data Analyst
DecisionTree Analytics & Services,"₹6,72,000",4.7,30 salaries,Data Analyst
Tata Consultancy Services (North America),"₹5,00,000",3.7,29 salaries,Data Analyst
McKinsey & Company,"₹14,00,000",4.2,29 salaries,Data Analyst
Ford Motor Company,"₹8,50,000",4,29 salaries,Data Analyst
UnitedHealth Group,"₹10,00,000",3.7,28 salaries,Data Analyst
Accenture Solutions,"₹6,00,000",4.1,28 salaries,Data Analyst
ANZ,"₹12,00,000",4,28 salaries,Data Analyst
Anonymous,"₹5,11,000",3.7,27 salaries,Data Analyst
Epsilon,"₹10,00,000",4.1,27 salaries,Data Analyst
Hansa Cequity,"₹4,20,000",3.6,27 salaries,Data Analyst
Shadowfax Technologies,"₹5,00,000",4.2,27 salaries,Data Analyst
Ericsson-Worldwide,"₹4,72,500",4.1,26 salaries,Data Analyst
Novartis,"₹8,00,000",3.9,26 salaries,Data Analyst
Tata Consultancy Services,"₹3,25,000",3.8,26 salaries,Data Analyst
OYO,"₹5,37,500",3.4,26 salaries,Data Analyst
Maxgen Technologies,"₹21,000",4.8,26 salaries,Data Analyst
Publicis Sapient,"₹6,15,000",3.7,25 salaries,Data Analyst
Rapido,"₹10,97,689",3.9,25 salaries,Data Analyst
Goldman Sachs,"₹10,00,000",3.8,25 salaries,Data Analyst
First Student,"₹30,000",3.9,25 salaries,Data Analyst
Tata Consultancy Services,"₹3,93,437",3.8,75 salaries,Quality Assurance
Amazon,"₹4,52,000",3.7,55 salaries,Quality Assurance
Cognizant Technology Solutions,"₹4,90,000",3.8,36 salaries,Quality Assurance
Infosys,"₹4,80,000",3.8,21 salaries,Quality Assurance
Capgemini,"₹3,95,000",3.9,19 salaries,Quality Assurance
Accenture,"₹5,00,000",3.9,17 salaries,Quality Assurance
Oracle,"₹10,00,000",3.8,16 salaries,Quality Assurance
Cybage Software,"₹6,00,000",4,16 salaries,Quality Assurance
Wipro,"₹4,50,000",3.7,15 salaries,Quality Assurance
TCS,"₹4,20,000",3.9,15 salaries,Quality Assurance
Tech Mahindra,"₹4,20,000",3.6,14 salaries,Quality Assurance
Fresher,"₹24,167",4,14 salaries,Quality Assurance
Cipla,"₹20,000",3.9,13 salaries,Quality Assurance
Fiserv,"₹8,00,000",3.5,11 salaries,Quality Assurance
HCLTech,"₹5,00,000",3.6,10 salaries,Quality Assurance
Biocon,"₹4,40,084",3.7,10 salaries,Quality Assurance
Teleperformance,"₹26,750",4.7,10 salaries,Quality Assurance
Concentrix,"₹3,09,000",4.1,10 salaries,Quality Assurance
Paytm,"₹4,99,001",3.5,10 salaries,Quality Assurance
Intelligence Node,"₹15,200",3.9,9 salaries,Quality Assurance
Intas Pharmaceuticals,"₹3,00,000",4,9 salaries,Quality Assurance
IBM,"₹6,00,000",4.1,9 salaries,Quality Assurance
DXC Technology,"₹6,00,000",3.6,8 salaries,Quality Assurance
Keywords Studios,"₹21,667",3.8,8 salaries,Quality Assurance
Aurobindo Pharma,"₹5,35,000",3.7,8 salaries,Quality Assurance
Amazon,"₹25,285",3.7,8 salaries,Quality Assurance
Publicis Sapient,"₹5,00,000",3.7,7 salaries,Quality Assurance
ABC,"₹10,00,000",4,7 salaries,Quality Assurance
Omega Healthcare,"₹42,500",3.7,6 salaries,Quality Assurance
Zydus Lifesciences,"₹4,16,000",4.3,6 salaries,Quality Assurance
Cactus Communications,"₹18,460",3.8,6 salaries,Quality Assurance
Novartis,"₹11,00,000",3.9,6 salaries,Quality Assurance
FIS,"₹10,00,000",3.7,6 salaries,Quality Assurance
Mylan Inc,"₹30,417",3.7,6 salaries,Quality Assurance
PwC,"₹5,32,867",3.9,6 salaries,Quality Assurance
SAP,"₹12,12,500",4.3,6 salaries,Quality Assurance
Informatica,"₹9,00,000",3.9,5 salaries,Quality Assurance
Dassault Systèmes,"₹7,80,000",4.1,5 salaries,Quality Assurance
Deloitte,"₹4,20,000",4.1,5 salaries,Quality Assurance
ITC Infotech,"₹45,000",3.8,5 salaries,Quality Assurance
Dr. Reddy's,"₹65,000",4,5 salaries,Quality Assurance
Micro Labs,"₹4,70,003",3.3,5 salaries,Quality Assurance
Anonymous,"₹3,00,000",3.7,5 salaries,Quality Assurance
Abbott,"₹5,25,000",3.8,5 salaries,Quality Assurance
QualityKiosk,"₹3,60,000",3.6,5 salaries,Quality Assurance
Amazon,"₹25,508",3.7,4 salaries,Quality Assurance
Reliance Industries,"₹32,000",3.9,4 salaries,Quality Assurance
XYZ,"₹9,50,000",3.8,4 salaries,Quality Assurance
OpenText,"₹9,46,080",3.5,4 salaries,Quality Assurance
Anthem Biosciences,"₹5,25,000",3.9,4 salaries,Quality Assurance
Mphasis,"₹5,40,000",3.5,4 salaries,Quality Assurance
Thoughtworks,"₹9,68,123",4.2,4 salaries,Quality Assurance
Jio,"₹4,15,000",3.7,4 salaries,Quality Assurance
Expleo Group,"₹23,125",3.5,4 salaries,Quality Assurance
Virtusa,"₹7,88,264",3.7,4 salaries,Quality Assurance
WNS,"₹20,833",3.4,4 salaries,Quality Assurance
NTT DATA,"₹6,05,000",3.9,4 salaries,Quality Assurance
Lupin,"₹35,833",3.9,4 salaries,Quality Assurance
Zoho,"₹58,333",4.5,4 salaries,Quality Assurance
eClinicalWorks,"₹3,15,000",3.9,4 salaries,Quality Assurance
PowerSchool Group,"₹10,03,515",3.9,4 salaries,Quality Assurance
Synechron,"₹9,94,203",4.2,4 salaries,Quality Assurance
Tata Motors,"₹22,000",4.1,4 salaries,Quality Assurance
OodlesTechnologies,"₹3,00,000",3.7,3 salaries,Quality Assurance
J.P. Morgan,"₹10,60,500",4,3 salaries,Quality Assurance
XcelTec,"₹19,276",4.8,3 salaries,Quality Assurance
JPMorgan Chase & Co,"₹5,30,094",4,3 salaries,Quality Assurance
Mahindra,"₹15,250",3.9,3 salaries,Quality Assurance
Hindustan Coca Cola Beverages,"₹2,86,000",4,3 salaries,Quality Assurance
Sutherland,"₹5,00,000",3.7,3 salaries,Quality Assurance
Gland Pharma Limited,"₹3,10,032",3.7,3 salaries,Quality Assurance
Granules India,"₹6,25,000",3.7,3 salaries,Quality Assurance
Inube Software Solutions,"₹4,00,000",3.7,3 salaries,Quality Assurance
Trident Group,"₹9,00,000",3.1,3 salaries,Quality Assurance
LTIMindtree,"₹9,31,112",3.5,3 salaries,Quality Assurance
Williams Lea,"₹6,60,000",4.1,3 salaries,Quality Assurance
Nagarro,"₹4,40,000",4,3 salaries,Quality Assurance
GammaStack,"₹6,00,000",4.2,3 salaries,Quality Assurance
Biz2Credit,"₹10,00,000",4.3,3 salaries,Quality Assurance
Quality Engineering,"₹18,250",4.1,3 salaries,Quality Assurance
Quality Assurance Services,"₹25,000",4.3,3 salaries,Quality Assurance
LG Balakrishnan and Bros,"₹1,73,000",3.5,3 salaries,Quality Assurance
Urjanet,"₹2,40,000",3.7,3 salaries,Quality Assurance
SLK Group,"₹3,90,000",3.9,3 salaries,Quality Assurance
TTEC,"₹3,63,000",3.5,3 salaries,Quality Assurance
Viatris,"₹41,667",3.8,3 salaries,Quality Assurance
SysArc Infomatix,"₹6,24,000",3.6,3 salaries,Quality Assurance
CitiusTech,"₹4,00,000",3.5,3 salaries,Quality Assurance
Exela Technologies,"₹2,00,000",3.8,3 salaries,Quality Assurance
Tata Motors,"₹90,000",4.1,3 salaries,Quality Assurance
JBM Group,"₹11,500",3.3,3 salaries,Quality Assurance
D. E. Shaw India,"₹16,00,000",4.1,3 salaries,Quality Assurance
Hewlett Packard Enterprise | HPE,"₹8,50,000",4.2,3 salaries,Quality Assurance
BA Continuum India,"₹10,19,000",4.2,3 salaries,Quality Assurance
Curia,"₹6,75,000",3.6,3 salaries,Quality Assurance
ABB,"₹8,00,000",4,3 salaries,Quality Assurance
Samsung R&D Institute India - Noida,"₹8,00,000",3.4,3 salaries,Quality Assurance
Sundram Fasteners,"₹14,000",3.8,3 salaries,Quality Assurance
XYZ,"₹4,00,332",3.7,3 salaries,Quality Assurance
Finastra,"₹6,00,000",3.8,3 salaries,Quality Assurance
